BBL,Address,AllApps,grantedfullpart,grantedfull,Denied,CONH,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014
3043040078,699 MILLER AVE,7,4,3,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
3079300001,5407 TO 5413 KINGS HWY,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4000520001,44-74 21ST ST,7,4,2,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
4014510047,34-47 90TH ST,7,7,5,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0
4021130034,99-60 TO 99-65 64TH AVE,7,3,1,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
4021210051,102-45 62ND RD,7,5,4,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0
4067020001,150-18 TO 150-22 72ND DR,7,6,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
4096630002,80-08 135TH ST,7,6,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0
1002830094,1 PIKE ST,6,5,4,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
1005590009,145 4TH AVE,6,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
1005720054,23 TO 25 W 8TH ST,6,6,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
1005730059,29 W 9TH ST,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006190033,95 TO 103 CHRISTOPHER ST,6,5,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0
1007700004,204 8TH AVE,6,4,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0
1010300048,230 CENTRAL PARK S,6,2,1,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1010590010,445 W 49TH ST,6,6,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0
1011290017,23 W 76TH ST,6,5,3,1,yes,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
1011440056,158 TO 168 W 73RD ST,6,4,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
1012520005,202 RIVERSIDE DR,6,5,3,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0
1013110028,141 TO 153 E 56TH ST,6,5,2,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0
1013440033,340 E 52ND ST,6,5,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0
1015180009,115 E 89TH ST,6,2,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1015340025,1707 2ND AVE,6,5,2,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0
1015350014,221 E 89TH ST,6,4,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
1015490001,305 TO 329 E 86TH ST,6,5,1,1,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0
1015560012,319 E 93RD ST,6,5,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0
1015810045,510 E 85TH ST,6,6,2,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,1,0
1017300036,2186 5TH AVE,6,4,3,2,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0
1018680044,230 W 97TH ST,6,2,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1021370046,66 TO 72 FORT WASHINGTON AVE,6,5,0,1,yes,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0
